,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
211,Mateo Mendez,SO-2,Louisville,05:20.4,26:32.7,173,LIVE IN LOU
212,Dante Torres,FR-1,Tennessee Tech,05:20.5,26:33.3,174,LIVE IN LOU
213,William Hartig,JR-3,East Tenn. St.,05:20.6,26:33.7,175,LIVE IN LOU
214,Carson Lehman,FR-1,Olivet Nazarene,05:20.6,26:33.8,,LIVE IN LOU
215,Summit Northrup,JR-3,Northern Kentucky,05:20.7,26:34.5,176,LIVE IN LOU
216,Colton Magnuson,SR-4,Northern Colorado,05:21.6,26:38.6,177,LIVE IN LOU
217,Andrew Moore,FR-1,Chattanooga,05:22.0,26:40.7,,LIVE IN LOU
218,John Young,FR-1,Rio Grande,05:22.3,26:42.2,,LIVE IN LOU
219,Sherjeel Khan,FR-1,Bellarmine,05:22.4,26:42.6,,LIVE IN LOU
220,Jared Platt,SO-2,Wayne State (Mich.),05:22.6,26:43.6,,LIVE IN LOU
221,Jacob Messer,JR-3,Northern Kentucky,05:22.8,26:44.6,178,LIVE IN LOU
222,Hayden Waleski,FR-1,East Tenn. St.,05:22.9,26:45.2,179,LIVE IN LOU
223,Brady Miller,SO-2,Charleston (W.V.),05:23.1,26:46.3,,LIVE IN LOU
224,Kolson Kytta,JR-3,Cedarville,05:23.7,26:49.2,,LIVE IN LOU
225,Jerry O'Dell,SO-2,Shawnee State,05:23.7,26:49.4,180,LIVE IN LOU
226,Caden LaRue,FR-1,Shawnee State,05:23.8,26:49.9,,LIVE IN LOU
227,Brady Kataoka,FR-1,Illinois-Chicago,05:24.2,26:51.6,,LIVE IN LOU
228,Isaac Legault,JR-3,Tennessee Tech,05:24.4,26:52.8,181,LIVE IN LOU
229,Camden Johnecheck,SO-2,Cedarville,05:25.0,26:55.9,,LIVE IN LOU
230,Nathaniel Schneider,JR-3,Marshall,05:25.3,26:57.0,182,LIVE IN LOU
231,Chris Levario,JR-3,Olivet Nazarene,05:25.4,26:57.9,,LIVE IN LOU
232,Will Herlihy,FR-1,Mercer,05:26.0,27:00.8,,LIVE IN LOU
233,Bryan Stoltzfus,SR-4,Northern Kentucky,05:26.1,27:01.1,,LIVE IN LOU
234,Mason Stoeger,JR-3,Eastern Illinois,05:26.6,27:03.5,,LIVE IN LOU
235,Kaden Smith,SO-2,Olivet Nazarene,05:26.8,27:04.6,,LIVE IN LOU
236,Andrew Mason,JR-3,Arkansas State,05:27.1,27:06.3,,LIVE IN LOU
